pairing_condition,failure_mode_id,k_max,n_items,mu_hat_miss_rate,preferred_decay,delta_aic,p_heterogeneity,rho_v,rho_v_ci_low,rho_v_ci_high,beta_a,beta_b,design_effect_at_k_max,n_eff_at_k_max,blind_spot_mass,blind_spot_ci_low,blind_spot_ci_high,ceiling_p_value,ceiling_detected,odds_law_is_upper_bound,below_odds_law_fraction,fit_warnings,fa_rate_mean,fa_rho_v,fa_always_flag_mass,n_clean_items,k_best_net_equal_weight,k_dagger_net,k_best_mast_operating,fc3_rate,blind_spot_vs_fc3
cross_family_3,FM-3.3,50,40,0.559,power_in_log_k,311.885,1.56e-70,0.2005,0.1406,0.2812,2.2287,1.7585,10.825,4.619,0.0,0.0,0.045,1.0,False,False,0.02,"no item reached m=K; pi0 is only bounded above, not identified",0.4155,0.3174,0.0,20,6,7.0,1,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
diverse_matched,FM-3.3,50,40,0.5055,power_in_log_k,541.437,1.69e-120,0.2843,0.2109,0.3766,1.2723,1.2445,14.933,3.348,0.0,0.0,0.045,1.0,False,False,0.02,"no item reached m=K; pi0 is only bounded above, not identified",0.4816,0.2328,0.0,20,16,,1,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
qwen_flip,FM-3.3,50,40,0.7146,power_in_log_k,487.917,7.43e-109,0.3399,0.2461,0.4569,1.3881,0.5543,17.653,2.832,0.0919,0.0,0.24,0.158,False,False,0.02,,0.3839,0.6017,0.1499,20,3,,1,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
same_family,FM-3.3,50,40,0.7125,power_in_log_k,146.966,1.46e-34,0.1177,0.0754,0.1808,5.3434,2.1562,6.765,7.391,0.0206,0.0,0.1,0.123,False,False,0.02,,0.272,0.0983,0.0,20,3,5.0,1,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
same_model,FM-3.3,50,40,0.8234,power_in_log_k,1174.373,4.16e-258,0.8212,0.6878,0.9137,0.1792,0.0384,41.241,1.212,0.0,0.0,0.76,1.0,False,False,0.02,,0.2236,0.9043,0.0,20,17,,1,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
same_model_mistral,FM-3.3,50,40,0.5196,power_in_log_k,1456.91,0.0,0.6332,0.5372,0.7279,0.301,0.2782,32.028,1.561,0.1551,0.0,0.31,0.0956,False,False,0.02,,0.5114,0.7126,0.0,20,25,,5,0.235,no_ceiling_distinguishable_from_zero_comparison_not_meaningful
