failure_mode_id,step,S_before,cand_type,candidate,delta,delta_ci_low,delta_ci_high,unique_catches,denom,delta_fa,rel_cost,V,selected,action
FM-3.3,0,,INIT,qwen7b,0.1538,0.0725,0.2973,6,39,0.25,1.0,0.0538,True,START
FM-3.3,1,qwen7b,SCALE,qwen7b,0.0,0.0,0.1043,0,33,0.0,1.0,-0.1,True,STOP
