family,rho,rung,catch,fa,U_test,U_cal,opt_gap,setsize,g_mode,nonOR_share
GSM8K,1.0,topology_only,0.355,0.109,0.246,0.245,0.001,1.0,OR,0.0
MBPP,1.0,topology_only,0.655,0.303,0.352,0.424,-0.071,1.0,OR,0.0
MMLU,1.0,topology_only,0.814,0.351,0.464,0.486,-0.022,1.0,OR,0.0
TruthfulQA,1.0,topology_only,0.762,0.216,0.546,0.548,-0.002,1.0,OR,0.0
ARC,2.0,fixed_OR,0.878,0.225,0.429,0.454,-0.026,1.0,OR,0.0
CSQA,2.0,fixed_OR,0.801,0.284,0.234,0.334,-0.1,1.0,OR,0.0
GSM8K,2.0,fixed_OR,0.29,0.091,0.108,0.147,-0.039,1.0,OR,0.0
MBPP,2.0,fixed_OR,0.553,0.18,0.194,0.23,-0.037,1.0,OR,0.0
MMLU,2.0,fixed_OR,0.72,0.336,0.049,0.174,-0.125,1.0,OR,0.0
TruthfulQA,2.0,fixed_OR,0.751,0.215,0.32,0.343,-0.023,1.0,OR,0.0
ARC,2.0,joint,0.878,0.225,0.429,0.454,-0.026,1.0,OR,0.0
CSQA,2.0,joint,0.765,0.248,0.268,0.382,-0.114,1.27,OR,0.28
GSM8K,2.0,joint,0.29,0.091,0.108,0.147,-0.039,1.0,OR,0.0
MBPP,2.0,joint,0.549,0.179,0.191,0.245,-0.054,1.09,OR,0.1
MMLU,2.0,joint,0.667,0.289,0.089,0.235,-0.146,1.3,OR,0.3
TruthfulQA,2.0,joint,0.747,0.215,0.317,0.346,-0.029,1.01,OR,0.01
ARC,2.0,topology_only,0.878,0.225,0.429,0.454,-0.026,1.0,OR,0.0
CSQA,2.0,topology_only,0.801,0.284,0.234,0.334,-0.1,1.0,OR,0.0
GSM8K,2.0,topology_only,0.29,0.091,0.108,0.147,-0.039,1.0,OR,0.0
MBPP,2.0,topology_only,0.553,0.18,0.194,0.23,-0.037,1.0,OR,0.0
MMLU,2.0,topology_only,0.72,0.336,0.049,0.174,-0.125,1.0,OR,0.0
TruthfulQA,2.0,topology_only,0.751,0.215,0.32,0.343,-0.023,1.0,OR,0.0
ARC,4.0,fixed_OR,0.476,0.117,0.01,0.172,-0.163,1.0,OR,0.0
CSQA,4.0,fixed_OR,0.55,0.179,-0.166,0.054,-0.22,1.0,OR,0.0
GSM8K,4.0,fixed_OR,0.111,0.032,-0.016,0.073,-0.089,1.0,OR,0.0
MBPP,4.0,fixed_OR,0.36,0.115,-0.099,0.054,-0.152,1.0,OR,0.0
MMLU,4.0,fixed_OR,0.365,0.205,-0.456,-0.229,-0.227,1.0,OR,0.0
TruthfulQA,4.0,fixed_OR,0.523,0.154,-0.091,0.085,-0.176,1.0,OR,0.0
ARC,4.0,joint,0.468,0.115,0.01,0.202,-0.191,1.19,OR,0.18
CSQA,4.0,joint,0.505,0.107,0.075,0.275,-0.2,1.81,AND,0.81
GSM8K,4.0,joint,0.111,0.032,-0.016,0.073,-0.089,1.0,OR,0.0
MBPP,4.0,joint,0.349,0.108,-0.082,0.119,-0.201,1.3,OR,0.3
MMLU,4.0,joint,0.283,0.095,-0.095,0.047,-0.141,1.87,AND,0.87
TruthfulQA,4.0,joint,0.487,0.138,-0.066,0.164,-0.229,1.35,OR,0.35
ARC,4.0,topology_only,0.476,0.117,0.01,0.172,-0.163,1.0,OR,0.0
CSQA,4.0,topology_only,0.55,0.179,-0.166,0.054,-0.22,1.0,OR,0.0
GSM8K,4.0,topology_only,0.111,0.032,-0.016,0.073,-0.089,1.0,OR,0.0
MBPP,4.0,topology_only,0.36,0.115,-0.099,0.054,-0.152,1.0,OR,0.0
MMLU,4.0,topology_only,0.365,0.205,-0.456,-0.229,-0.227,1.0,OR,0.0
TruthfulQA,4.0,topology_only,0.523,0.154,-0.091,0.085,-0.176,1.0,OR,0.0
