scenario,n_items,K,rho_v_true,pi0_true,mu_true,n_reps,rho_v_mean,rho_v_bias,rho_v_rmse,pi0_mean,pi0_bias,mu_bias,h1_reject_rate,h3_reject_rate_new,h3_reject_rate_old,rho_v_ci_coverage,pi0_ci_coverage,rho_v_ci_width
binomial_null,34,20,1.0000000000000003e-05,0.0,0.32000000000000006,400,0.004113157412718171,0.004103157412718172,0.0079247549911883,3.6449605898919447e-13,3.6449605898919447e-13,0.00018371183331611363,0.025,0.0,0.0,0.0,1.0,0.030577717755443885
binomial_null,40,50,1.0000000000000003e-05,0.0,0.32000000000000006,400,0.0017740683855867944,0.0017640683855867944,0.003344573184669597,8.546720824682794e-13,8.546720824682794e-13,-0.00041885087821647016,0.035,0.0,0.0,0.0,1.0,0.009871876046901174
mild_hetero,34,20,0.2,0.0,0.32,400,0.19417581018478164,-0.005824189815218372,0.048934449588370545,0.0015891019156713242,0.0015891019156713242,-0.0031047581673760982,1.0,0.035,0.0075,0.95,0.9916666666666667,0.17915781825795643
mild_hetero,40,50,0.2,0.0,0.32,400,0.19298568959246482,-0.007014310407535196,0.03665483268204193,6.227208189391993e-05,6.227208189391993e-05,-0.0016163494203273454,1.0,0.0025,0.0075,0.9416666666666667,1.0,0.13958665410385257
pilot_like,34,20,0.68,0.0,0.32,400,0.6759847821316591,-0.0040152178683409145,0.06247896117128931,0.03948781033800468,0.03948781033800468,-0.004274167009632124,1.0,0.0475,0.005,0.95,0.9583333333333334,0.24671324120603014
pilot_like,40,50,0.68,0.0,0.32,400,0.6697248607785091,-0.010275139221490925,0.059097401379648966,0.02907598342120897,0.02907598342120897,0.0038234219962031135,1.0,0.0475,0.07,0.9333333333333333,0.975,0.2081041666666667
ceiling,34,20,0.4,0.15,0.4000000000000001,400,0.5189749091388147,0.1189749091388147,0.13800602945587093,0.14495790552401952,-0.005042094475980474,0.11834148583450105,1.0,0.4175,0.0625,0.49166666666666664,0.9583333333333334,0.2361302554438861
ceiling,40,50,0.4,0.15,0.4000000000000001,400,0.5306703034716591,0.1306703034716591,0.14160369663422698,0.14121184820463714,-0.008788151795362853,0.12520419067734762,1.0,0.6975,0.4375,0.275,0.95,0.1982741206030151
